Condition,Drug Name,Rating,Review,Side Effects,Useful Count
Diabetes,Metformin,9.8,Not effective,"Nausea, weight loss, dizziness",231
Hypertension,Lisinopril,3.4,Highly recommended,"Cough, dizziness, low blood pressure",138
Migraine,Sumatriptan,5.5,Very effective,"Nausea, dizziness, chest pain",387
Asthma,Albuterol,8.1,Very effective,"Tremors, nervousness, fast heartbeat",65
COVID-19,Remdesivir,8.2,Somewhat helpful,"Nausea, liver problems, rash",97
Flu,Tamiflu,7,Somewhat helpful,"Nausea, headache, dizziness",437
Depression,Sertraline,3,Not effective,"Drowsiness, weight gain, nausea",78
Arthritis,Ibuprofen,9.9,Caused side effects,"Stomach pain, nausea, ulcers",146
Pneumonia,Azithromycin,4.5,Caused side effects,"Diarrhea, stomach pain, nausea",112
Acid Reflux,Omeprazole,6.3,Highly recommended,"Stomach pain, bloating, dizziness",209
Tuberculosis,Rifampin,8.5,Somewhat helpful,"Liver damage, nausea, dizziness",494
Bronchitis,Dextromethorphan,6.5,Very effective,"Dizziness, dry mouth, fatigue",50
Liver Disease,Silymarin,4,Somewhat helpful,"Stomach pain, diarrhea, nausea",283
Kidney Stones,Tamsulosin,2.8,Somewhat helpful,"Dizziness, headache, nasal congestion",230
Stroke,Aspirin,2.9,Highly recommended,"Bleeding risk, stomach pain",280
Heart Disease,Atorvastatin,4.1,Highly recommended,"Muscle pain, liver issues, nausea",456
Alzheimer's,Donepezil,5.3,Very effective,"Nausea, insomnia, diarrhea",316
Anemia,Ferrous Sulfate,1.2,Highly recommended,"Constipation, nausea, black stools",92
Hypothyroidism,Levothyroxine,6.5,Very effective,"Weight loss, anxiety, nausea",22
Epilepsy,Carbamazepine,1.6,Not effective,"Dizziness, fatigue, liver problems",127
Diabetes,Metformin,2,Very effective,"Nausea, weight loss, dizziness",425
Hypertension,Lisinopril,1.2,Very effective,"Cough, dizziness, low blood pressure",110
Migraine,Sumatriptan,2.6,Somewhat helpful,"Nausea, dizziness, chest pain",353
Asthma,Albuterol,3.5,Caused side effects,"Tremors, nervousness, fast heartbeat",327
COVID-19,Remdesivir,4.2,Caused side effects,"Nausea, liver problems, rash",367
Flu,Tamiflu,1.3,Somewhat helpful,"Nausea, headache, dizziness",497
Depression,Sertraline,3.4,Somewhat helpful,"Drowsiness, weight gain, nausea",77
Arthritis,Ibuprofen,6.3,Very effective,"Stomach pain, nausea, ulcers",45
Pneumonia,Azithromycin,4.4,Somewhat helpful,"Diarrhea, stomach pain, nausea",87
Acid Reflux,Omeprazole,1.7,Not effective,"Stomach pain, bloating, dizziness",219
Tuberculosis,Rifampin,1.1,Caused side effects,"Liver damage, nausea, dizziness",28
Bronchitis,Dextromethorphan,3.3,Highly recommended,"Dizziness, dry mouth, fatigue",271
Liver Disease,Silymarin,6.9,Highly recommended,"Stomach pain, diarrhea, nausea",320
Kidney Stones,Tamsulosin,6.8,Very effective,"Dizziness, headache, nasal congestion",482
Stroke,Aspirin,1.5,Caused side effects,"Bleeding risk, stomach pain",367
Heart Disease,Atorvastatin,4,Somewhat helpful,"Muscle pain, liver issues, nausea",225
Alzheimer's,Donepezil,7.6,Not effective,"Nausea, insomnia, diarrhea",463
Anemia,Ferrous Sulfate,3,Not effective,"Constipation, nausea, black stools",261
Hypothyroidism,Levothyroxine,3.8,Highly recommended,"Weight loss, anxiety, nausea",422
Epilepsy,Carbamazepine,7.6,Somewhat helpful,"Dizziness, fatigue, liver problems",298
Diabetes,Metformin,2,Caused side effects,"Nausea, weight loss, dizziness",382
Hypertension,Lisinopril,7.6,Caused side effects,"Cough, dizziness, low blood pressure",459
Migraine,Sumatriptan,7.6,Very effective,"Nausea, dizziness, chest pain",91
Asthma,Albuterol,4.8,Somewhat helpful,"Tremors, nervousness, fast heartbeat",468
COVID-19,Remdesivir,7.8,Not effective,"Nausea, liver problems, rash",142
Flu,Tamiflu,7,Highly recommended,"Nausea, headache, dizziness",305
Depression,Sertraline,2.8,Highly recommended,"Drowsiness, weight gain, nausea",318
Arthritis,Ibuprofen,6.1,Very effective,"Stomach pain, nausea, ulcers",287
Pneumonia,Azithromycin,9.4,Very effective,"Diarrhea, stomach pain, nausea",41
Acid Reflux,Omeprazole,6.9,Somewhat helpful,"Stomach pain, bloating, dizziness",343
Tuberculosis,Rifampin,9.1,Highly recommended,"Liver damage, nausea, dizziness",386
Bronchitis,Dextromethorphan,8,Somewhat helpful,"Dizziness, dry mouth, fatigue",220
Liver Disease,Silymarin,7.2,Very effective,"Stomach pain, diarrhea, nausea",348
Kidney Stones,Tamsulosin,8.8,Highly recommended,"Dizziness, headache, nasal congestion",467
Stroke,Aspirin,7,Highly recommended,"Bleeding risk, stomach pain",237
Heart Disease,Atorvastatin,5.6,Very effective,"Muscle pain, liver issues, nausea",216
Alzheimer's,Donepezil,7.9,Somewhat helpful,"Nausea, insomnia, diarrhea",412
Anemia,Ferrous Sulfate,3.3,Very effective,"Constipation, nausea, black stools",470
Hypothyroidism,Levothyroxine,8.4,Not effective,"Weight loss, anxiety, nausea",126
Epilepsy,Carbamazepine,7.9,Caused side effects,"Dizziness, fatigue, liver problems",376
Diabetes,Metformin,7.1,Very effective,"Nausea, weight loss, dizziness",343
Hypertension,Lisinopril,9,Very effective,"Cough, dizziness, low blood pressure",115
Migraine,Sumatriptan,9,Caused side effects,"Nausea, dizziness, chest pain",354
Asthma,Albuterol,4.6,Not effective,"Tremors, nervousness, fast heartbeat",30
COVID-19,Remdesivir,3.3,Caused side effects,"Nausea, liver problems, rash",206
Flu,Tamiflu,1.3,Very effective,"Nausea, headache, dizziness",70
Depression,Sertraline,8.3,Very effective,"Drowsiness, weight gain, nausea",455
Arthritis,Ibuprofen,5.5,Very effective,"Stomach pain, nausea, ulcers",127
Pneumonia,Azithromycin,5.4,Caused side effects,"Diarrhea, stomach pain, nausea",457
Acid Reflux,Omeprazole,5.2,Somewhat helpful,"Stomach pain, bloating, dizziness",113
Tuberculosis,Rifampin,2.1,Not effective,"Liver damage, nausea, dizziness",34
Bronchitis,Dextromethorphan,6,Very effective,"Dizziness, dry mouth, fatigue",439
Liver Disease,Silymarin,5.8,Highly recommended,"Stomach pain, diarrhea, nausea",364
Kidney Stones,Tamsulosin,7.3,Very effective,"Dizziness, headache, nasal congestion",450
Stroke,Aspirin,4.7,Somewhat helpful,"Bleeding risk, stomach pain",397
Heart Disease,Atorvastatin,2.7,Highly recommended,"Muscle pain, liver issues, nausea",219
Alzheimer's,Donepezil,3.2,Somewhat helpful,"Nausea, insomnia, diarrhea",124
Anemia,Ferrous Sulfate,7.9,Not effective,"Constipation, nausea, black stools",346
Hypothyroidism,Levothyroxine,5.4,Not effective,"Weight loss, anxiety, nausea",102
Epilepsy,Carbamazepine,6.7,Highly recommended,"Dizziness, fatigue, liver problems",126
Diabetes,Metformin,8.4,Very effective,"Nausea, weight loss, dizziness",187
Hypertension,Lisinopril,4.7,Very effective,"Cough, dizziness, low blood pressure",68
Migraine,Sumatriptan,2.5,Somewhat helpful,"Nausea, dizziness, chest pain",142
Asthma,Albuterol,4.8,Not effective,"Tremors, nervousness, fast heartbeat",396
COVID-19,Remdesivir,4,Somewhat helpful,"Nausea, liver problems, rash",457
Flu,Tamiflu,3.7,Caused side effects,"Nausea, headache, dizziness",350
Depression,Sertraline,9.7,Very effective,"Drowsiness, weight gain, nausea",238
Arthritis,Ibuprofen,3.6,Highly recommended,"Stomach pain, nausea, ulcers",297
Pneumonia,Azithromycin,2.4,Somewhat helpful,"Diarrhea, stomach pain, nausea",351
Acid Reflux,Omeprazole,8.8,Somewhat helpful,"Stomach pain, bloating, dizziness",366
Tuberculosis,Rifampin,1.5,Not effective,"Liver damage, nausea, dizziness",392
Bronchitis,Dextromethorphan,9.6,Highly recommended,"Dizziness, dry mouth, fatigue",200
Liver Disease,Silymarin,2.6,Highly recommended,"Stomach pain, diarrhea, nausea",35
Kidney Stones,Tamsulosin,1.7,Very effective,"Dizziness, headache, nasal congestion",406
Stroke,Aspirin,4.9,Not effective,"Bleeding risk, stomach pain",454
Heart Disease,Atorvastatin,3.9,Very effective,"Muscle pain, liver issues, nausea",260
Alzheimer's,Donepezil,6.2,Highly recommended,"Nausea, insomnia, diarrhea",249
Anemia,Ferrous Sulfate,3.6,Caused side effects,"Constipation, nausea, black stools",48
Hypothyroidism,Levothyroxine,2.4,Not effective,"Weight loss, anxiety, nausea",64
Epilepsy,Carbamazepine,2,Not effective,"Dizziness, fatigue, liver problems",12
Diabetes,Metformin,6,Not effective,"Nausea, weight loss, dizziness",324
Hypertension,Lisinopril,2.1,Somewhat helpful,"Cough, dizziness, low blood pressure",230
Migraine,Sumatriptan,9.2,Somewhat helpful,"Nausea, dizziness, chest pain",493
Asthma,Albuterol,3.9,Not effective,"Tremors, nervousness, fast heartbeat",218
COVID-19,Remdesivir,8.5,Somewhat helpful,"Nausea, liver problems, rash",280
Flu,Tamiflu,2.8,Somewhat helpful,"Nausea, headache, dizziness",331
Depression,Sertraline,8.3,Very effective,"Drowsiness, weight gain, nausea",358
Arthritis,Ibuprofen,8.4,Very effective,"Stomach pain, nausea, ulcers",429
Pneumonia,Azithromycin,4,Somewhat helpful,"Diarrhea, stomach pain, nausea",236
Acid Reflux,Omeprazole,2.8,Not effective,"Stomach pain, bloating, dizziness",313
Tuberculosis,Rifampin,2.5,Highly recommended,"Liver damage, nausea, dizziness",464
Bronchitis,Dextromethorphan,6.1,Very effective,"Dizziness, dry mouth, fatigue",439
Liver Disease,Silymarin,8.6,Caused side effects,"Stomach pain, diarrhea, nausea",459
Kidney Stones,Tamsulosin,2.5,Highly recommended,"Dizziness, headache, nasal congestion",256
Stroke,Aspirin,5.1,Very effective,"Bleeding risk, stomach pain",355
Heart Disease,Atorvastatin,5.9,Somewhat helpful,"Muscle pain, liver issues, nausea",273
Alzheimer's,Donepezil,7.4,Not effective,"Nausea, insomnia, diarrhea",348
Anemia,Ferrous Sulfate,7.5,Somewhat helpful,"Constipation, nausea, black stools",107
Hypothyroidism,Levothyroxine,9.9,Not effective,"Weight loss, anxiety, nausea",458
Epilepsy,Carbamazepine,6,Highly recommended,"Dizziness, fatigue, liver problems",85
Diabetes,Metformin,1.7,Somewhat helpful,"Nausea, weight loss, dizziness",150
Hypertension,Lisinopril,6.7,Caused side effects,"Cough, dizziness, low blood pressure",36
Migraine,Sumatriptan,5,Highly recommended,"Nausea, dizziness, chest pain",157
Asthma,Albuterol,8.8,Caused side effects,"Tremors, nervousness, fast heartbeat",291
COVID-19,Remdesivir,5.9,Caused side effects,"Nausea, liver problems, rash",479
Flu,Tamiflu,5.3,Not effective,"Nausea, headache, dizziness",459
Depression,Sertraline,9.4,Highly recommended,"Drowsiness, weight gain, nausea",359
Arthritis,Ibuprofen,3.9,Somewhat helpful,"Stomach pain, nausea, ulcers",294
Pneumonia,Azithromycin,1,Highly recommended,"Diarrhea, stomach pain, nausea",114
Acid Reflux,Omeprazole,1.5,Highly recommended,"Stomach pain, bloating, dizziness",113
Tuberculosis,Rifampin,5.6,Very effective,"Liver damage, nausea, dizziness",132
Bronchitis,Dextromethorphan,4.2,Not effective,"Dizziness, dry mouth, fatigue",62
Liver Disease,Silymarin,6.3,Very effective,"Stomach pain, diarrhea, nausea",421
Kidney Stones,Tamsulosin,7.7,Very effective,"Dizziness, headache, nasal congestion",89
Stroke,Aspirin,1.7,Not effective,"Bleeding risk, stomach pain",305
Heart Disease,Atorvastatin,7.1,Somewhat helpful,"Muscle pain, liver issues, nausea",105
Alzheimer's,Donepezil,1.1,Somewhat helpful,"Nausea, insomnia, diarrhea",291
Anemia,Ferrous Sulfate,4.2,Somewhat helpful,"Constipation, nausea, black stools",155
Hypothyroidism,Levothyroxine,3.4,Caused side effects,"Weight loss, anxiety, nausea",481
Epilepsy,Carbamazepine,7.5,Caused side effects,"Dizziness, fatigue, liver problems",402
Diabetes,Metformin,1.7,Not effective,"Nausea, weight loss, dizziness",236
Hypertension,Lisinopril,9,Caused side effects,"Cough, dizziness, low blood pressure",377
Migraine,Sumatriptan,4.2,Very effective,"Nausea, dizziness, chest pain",463
Asthma,Albuterol,9.7,Not effective,"Tremors, nervousness, fast heartbeat",335
COVID-19,Remdesivir,2.8,Somewhat helpful,"Nausea, liver problems, rash",425
Flu,Tamiflu,9.3,Highly recommended,"Nausea, headache, dizziness",159
Depression,Sertraline,3.1,Highly recommended,"Drowsiness, weight gain, nausea",154
Arthritis,Ibuprofen,5.7,Very effective,"Stomach pain, nausea, ulcers",146
Pneumonia,Azithromycin,7.8,Caused side effects,"Diarrhea, stomach pain, nausea",302
Acid Reflux,Omeprazole,4.9,Caused side effects,"Stomach pain, bloating, dizziness",422
Tuberculosis,Rifampin,5.7,Very effective,"Liver damage, nausea, dizziness",68
Bronchitis,Dextromethorphan,9.4,Very effective,"Dizziness, dry mouth, fatigue",104
Liver Disease,Silymarin,1.6,Very effective,"Stomach pain, diarrhea, nausea",342
Kidney Stones,Tamsulosin,2.6,Caused side effects,"Dizziness, headache, nasal congestion",157
Stroke,Aspirin,4.4,Somewhat helpful,"Bleeding risk, stomach pain",333
Heart Disease,Atorvastatin,7.8,Not effective,"Muscle pain, liver issues, nausea",191
Alzheimer's,Donepezil,2.2,Somewhat helpful,"Nausea, insomnia, diarrhea",285
Anemia,Ferrous Sulfate,5.3,Somewhat helpful,"Constipation, nausea, black stools",303
Hypothyroidism,Levothyroxine,2.5,Somewhat helpful,"Weight loss, anxiety, nausea",99
Epilepsy,Carbamazepine,7,Somewhat helpful,"Dizziness, fatigue, liver problems",275
Diabetes,Metformin,4.4,Very effective,"Nausea, weight loss, dizziness",118
Hypertension,Lisinopril,3.9,Very effective,"Cough, dizziness, low blood pressure",394
Migraine,Sumatriptan,2.7,Somewhat helpful,"Nausea, dizziness, chest pain",159
Asthma,Albuterol,1,Not effective,"Tremors, nervousness, fast heartbeat",232
COVID-19,Remdesivir,3.2,Not effective,"Nausea, liver problems, rash",272
Flu,Tamiflu,3.3,Somewhat helpful,"Nausea, headache, dizziness",466
Depression,Sertraline,4.4,Not effective,"Drowsiness, weight gain, nausea",22
Arthritis,Ibuprofen,1.7,Somewhat helpful,"Stomach pain, nausea, ulcers",434
Pneumonia,Azithromycin,9.4,Somewhat helpful,"Diarrhea, stomach pain, nausea",447
Acid Reflux,Omeprazole,3,Caused side effects,"Stomach pain, bloating, dizziness",410
Tuberculosis,Rifampin,9.7,Very effective,"Liver damage, nausea, dizziness",253
Bronchitis,Dextromethorphan,7.3,Caused side effects,"Dizziness, dry mouth, fatigue",387
Liver Disease,Silymarin,3.1,Caused side effects,"Stomach pain, diarrhea, nausea",245
Kidney Stones,Tamsulosin,1.6,Not effective,"Dizziness, headache, nasal congestion",328
Stroke,Aspirin,3.1,Caused side effects,"Bleeding risk, stomach pain",256
Heart Disease,Atorvastatin,4,Somewhat helpful,"Muscle pain, liver issues, nausea",258
Alzheimer's,Donepezil,8.7,Highly recommended,"Nausea, insomnia, diarrhea",173
Anemia,Ferrous Sulfate,3.2,Somewhat helpful,"Constipation, nausea, black stools",457
Hypothyroidism,Levothyroxine,4.7,Not effective,"Weight loss, anxiety, nausea",17
Epilepsy,Carbamazepine,5,Very effective,"Dizziness, fatigue, liver problems",276
Diabetes,Metformin,9.2,Somewhat helpful,"Nausea, weight loss, dizziness",485
Hypertension,Lisinopril,8.3,Caused side effects,"Cough, dizziness, low blood pressure",35
Migraine,Sumatriptan,9.3,Very effective,"Nausea, dizziness, chest pain",317
Asthma,Albuterol,9.4,Very effective,"Tremors, nervousness, fast heartbeat",362
COVID-19,Remdesivir,5.1,Caused side effects,"Nausea, liver problems, rash",184
Flu,Tamiflu,10,Highly recommended,"Nausea, headache, dizziness",42
Depression,Sertraline,1.3,Somewhat helpful,"Drowsiness, weight gain, nausea",15
Arthritis,Ibuprofen,8.9,Caused side effects,"Stomach pain, nausea, ulcers",188
Pneumonia,Azithromycin,6.7,Somewhat helpful,"Diarrhea, stomach pain, nausea",337
Acid Reflux,Omeprazole,6,Not effective,"Stomach pain, bloating, dizziness",257
Tuberculosis,Rifampin,3.8,Highly recommended,"Liver damage, nausea, dizziness",321
Bronchitis,Dextromethorphan,3.6,Not effective,"Dizziness, dry mouth, fatigue",88
Liver Disease,Silymarin,8.8,Somewhat helpful,"Stomach pain, diarrhea, nausea",21
Kidney Stones,Tamsulosin,5.9,Very effective,"Dizziness, headache, nasal congestion",321
Stroke,Aspirin,5.3,Not effective,"Bleeding risk, stomach pain",299
Heart Disease,Atorvastatin,2.4,Highly recommended,"Muscle pain, liver issues, nausea",499
Alzheimer's,Donepezil,2.6,Not effective,"Nausea, insomnia, diarrhea",166
Anemia,Ferrous Sulfate,2.2,Caused side effects,"Constipation, nausea, black stools",287
Hypothyroidism,Levothyroxine,7.3,Caused side effects,"Weight loss, anxiety, nausea",420
Epilepsy,Carbamazepine,6.9,Somewhat helpful,"Dizziness, fatigue, liver problems",283
Diabetes,Metformin,6.3,Not effective,"Nausea, weight loss, dizziness",330
Hypertension,Lisinopril,2.2,Caused side effects,"Cough, dizziness, low blood pressure",106
Migraine,Sumatriptan,9.5,Very effective,"Nausea, dizziness, chest pain",207
Asthma,Albuterol,7.6,Very effective,"Tremors, nervousness, fast heartbeat",83
COVID-19,Remdesivir,7.1,Not effective,"Nausea, liver problems, rash",470
Flu,Tamiflu,5.1,Highly recommended,"Nausea, headache, dizziness",451
Depression,Sertraline,1.6,Highly recommended,"Drowsiness, weight gain, nausea",313
Arthritis,Ibuprofen,6.6,Not effective,"Stomach pain, nausea, ulcers",32
Pneumonia,Azithromycin,3.4,Not effective,"Diarrhea, stomach pain, nausea",299
Acid Reflux,Omeprazole,8.9,Not effective,"Stomach pain, bloating, dizziness",453
Tuberculosis,Rifampin,8.3,Somewhat helpful,"Liver damage, nausea, dizziness",426
Bronchitis,Dextromethorphan,1.9,Highly recommended,"Dizziness, dry mouth, fatigue",123
Liver Disease,Silymarin,3,Not effective,"Stomach pain, diarrhea, nausea",244
Kidney Stones,Tamsulosin,9.7,Somewhat helpful,"Dizziness, headache, nasal congestion",309
Stroke,Aspirin,2.4,Very effective,"Bleeding risk, stomach pain",392
Heart Disease,Atorvastatin,5.7,Highly recommended,"Muscle pain, liver issues, nausea",159
Alzheimer's,Donepezil,5.5,Very effective,"Nausea, insomnia, diarrhea",481
Anemia,Ferrous Sulfate,4.2,Highly recommended,"Constipation, nausea, black stools",317
Hypothyroidism,Levothyroxine,2.8,Somewhat helpful,"Weight loss, anxiety, nausea",425
Epilepsy,Carbamazepine,7.8,Highly recommended,"Dizziness, fatigue, liver problems",464
Diabetes,Metformin,7,Not effective,"Nausea, weight loss, dizziness",304
Hypertension,Lisinopril,3.7,Caused side effects,"Cough, dizziness, low blood pressure",23
Migraine,Sumatriptan,7,Caused side effects,"Nausea, dizziness, chest pain",134
Asthma,Albuterol,3.1,Not effective,"Tremors, nervousness, fast heartbeat",311
COVID-19,Remdesivir,5.9,Highly recommended,"Nausea, liver problems, rash",30
Flu,Tamiflu,2.2,Not effective,"Nausea, headache, dizziness",322
Depression,Sertraline,4.5,Not effective,"Drowsiness, weight gain, nausea",243
Arthritis,Ibuprofen,3.6,Highly recommended,"Stomach pain, nausea, ulcers",340
Pneumonia,Azithromycin,3.8,Caused side effects,"Diarrhea, stomach pain, nausea",209
Acid Reflux,Omeprazole,1.3,Somewhat helpful,"Stomach pain, bloating, dizziness",219
Tuberculosis,Rifampin,7.8,Somewhat helpful,"Liver damage, nausea, dizziness",468
Bronchitis,Dextromethorphan,5,Somewhat helpful,"Dizziness, dry mouth, fatigue",448
Liver Disease,Silymarin,6,Caused side effects,"Stomach pain, diarrhea, nausea",75
Kidney Stones,Tamsulosin,8.4,Caused side effects,"Dizziness, headache, nasal congestion",161
Stroke,Aspirin,1.2,Very effective,"Bleeding risk, stomach pain",40
Heart Disease,Atorvastatin,3.2,Highly recommended,"Muscle pain, liver issues, nausea",449
Alzheimer's,Donepezil,5,Very effective,"Nausea, insomnia, diarrhea",85
Anemia,Ferrous Sulfate,8.4,Not effective,"Constipation, nausea, black stools",145
Hypothyroidism,Levothyroxine,4.8,Somewhat helpful,"Weight loss, anxiety, nausea",251
Epilepsy,Carbamazepine,9.2,Very effective,"Dizziness, fatigue, liver problems",23
Diabetes,Metformin,4,Highly recommended,"Nausea, weight loss, dizziness",241
Hypertension,Lisinopril,3.9,Not effective,"Cough, dizziness, low blood pressure",197
Migraine,Sumatriptan,1.7,Very effective,"Nausea, dizziness, chest pain",368
Asthma,Albuterol,8.7,Caused side effects,"Tremors, nervousness, fast heartbeat",323
COVID-19,Remdesivir,2.5,Very effective,"Nausea, liver problems, rash",430
Flu,Tamiflu,1.2,Caused side effects,"Nausea, headache, dizziness",190
Depression,Sertraline,9.8,Very effective,"Drowsiness, weight gain, nausea",262
Arthritis,Ibuprofen,1.6,Not effective,"Stomach pain, nausea, ulcers",406
Pneumonia,Azithromycin,2.6,Very effective,"Diarrhea, stomach pain, nausea",238
Acid Reflux,Omeprazole,7.5,Highly recommended,"Stomach pain, bloating, dizziness",256
Tuberculosis,Rifampin,9.6,Somewhat helpful,"Liver damage, nausea, dizziness",174
Bronchitis,Dextromethorphan,4.4,Very effective,"Dizziness, dry mouth, fatigue",170
Liver Disease,Silymarin,5.8,Caused side effects,"Stomach pain, diarrhea, nausea",412
Kidney Stones,Tamsulosin,2.8,Not effective,"Dizziness, headache, nasal congestion",352
Stroke,Aspirin,2.4,Caused side effects,"Bleeding risk, stomach pain",404
Heart Disease,Atorvastatin,2.2,Caused side effects,"Muscle pain, liver issues, nausea",269
Alzheimer's,Donepezil,9.8,Highly recommended,"Nausea, insomnia, diarrhea",394
Anemia,Ferrous Sulfate,2.1,Not effective,"Constipation, nausea, black stools",318
Hypothyroidism,Levothyroxine,5.6,Not effective,"Weight loss, anxiety, nausea",122
Epilepsy,Carbamazepine,6.3,Somewhat helpful,"Dizziness, fatigue, liver problems",500
Diabetes,Metformin,9.7,Highly recommended,"Nausea, weight loss, dizziness",186
Hypertension,Lisinopril,4.2,Not effective,"Cough, dizziness, low blood pressure",299
Migraine,Sumatriptan,7.7,Somewhat helpful,"Nausea, dizziness, chest pain",190
Asthma,Albuterol,8.1,Highly recommended,"Tremors, nervousness, fast heartbeat",125
COVID-19,Remdesivir,5.8,Highly recommended,"Nausea, liver problems, rash",485
Flu,Tamiflu,3.8,Not effective,"Nausea, headache, dizziness",299
Depression,Sertraline,9.6,Highly recommended,"Drowsiness, weight gain, nausea",129
Arthritis,Ibuprofen,2.6,Not effective,"Stomach pain, nausea, ulcers",403
Pneumonia,Azithromycin,4.6,Somewhat helpful,"Diarrhea, stomach pain, nausea",111
Acid Reflux,Omeprazole,5.6,Very effective,"Stomach pain, bloating, dizziness",75
Tuberculosis,Rifampin,2.8,Highly recommended,"Liver damage, nausea, dizziness",469
Bronchitis,Dextromethorphan,1.8,Not effective,"Dizziness, dry mouth, fatigue",56
Liver Disease,Silymarin,9.2,Caused side effects,"Stomach pain, diarrhea, nausea",256
Kidney Stones,Tamsulosin,6.4,Not effective,"Dizziness, headache, nasal congestion",94
Stroke,Aspirin,2,Very effective,"Bleeding risk, stomach pain",12
Heart Disease,Atorvastatin,6.6,Highly recommended,"Muscle pain, liver issues, nausea",411
Alzheimer's,Donepezil,5.5,Highly recommended,"Nausea, insomnia, diarrhea",325
Anemia,Ferrous Sulfate,4.5,Not effective,"Constipation, nausea, black stools",336
Hypothyroidism,Levothyroxine,3.1,Not effective,"Weight loss, anxiety, nausea",370
Epilepsy,Carbamazepine,2.1,Somewhat helpful,"Dizziness, fatigue, liver problems",389
Diabetes,Metformin,7,Highly recommended,"Nausea, weight loss, dizziness",369
Hypertension,Lisinopril,9.4,Caused side effects,"Cough, dizziness, low blood pressure",133
Migraine,Sumatriptan,3.5,Caused side effects,"Nausea, dizziness, chest pain",26
Asthma,Albuterol,5.9,Somewhat helpful,"Tremors, nervousness, fast heartbeat",335
COVID-19,Remdesivir,4.9,Not effective,"Nausea, liver problems, rash",167
Flu,Tamiflu,8.9,Somewhat helpful,"Nausea, headache, dizziness",149
Depression,Sertraline,3.2,Caused side effects,"Drowsiness, weight gain, nausea",118
Arthritis,Ibuprofen,8.8,Highly recommended,"Stomach pain, nausea, ulcers",246
Pneumonia,Azithromycin,3.7,Highly recommended,"Diarrhea, stomach pain, nausea",256
